trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
184-DN,184-DN,everyday,Hinthada,Okshitpin to Hinthada,0,,,0
185-UP,185-UP,everyday,Kyan kyin,Pathein to Kyan kyin,0,,,0
186-DN,186-DN,everyday,Pathein,Kyan kyin to Pathein,0,,,0
187-UP,187-UP,everyday,Hinthada,Pathein to Hinthada,0,,,0
188-DN,188-DN,everyday,Pathein,Hinthada to Pathein,0,,,0
189-UP,189-UP,everyday,Kyan kyin,Hinthada to Kyan kyin,0,,,0
190-DN,190-DN,everyday,Hinthada,Kyan kyin to Hinthada,0,,,0
191-UP,191-UP,everyday,Taungdwingyi,Magway to Taungdwingyi,0,,,0
192-DN,192-DN,everyday,Magway,Taungdwingyi to Magway,0,,,0
195-UP,195-UP,everyday,Tharrwaw,Letpadan to Tharrwaw,0,,,0
196-DN,196-DN,everyday,Letpadan,Tharrawaw to Letpadan,0,,,0
197-UP,197-UP,everyday,Tharrwaw,Letpadan to Tharrwaw,0,,,0
198-DN,198-DN,everyday,Letpadan,Tharrwaw to Letpadan,0,,,0
903-UP,903-UP,everyday,Thazi,Taungoo to Thazi,0,,,0
904-DN,904-DN,everyday,Taungoo,Thazi to Taungoo,0,,,0
907-UP,907-UP,everyday,Taungoo,Thingankyun to Taungoo,0,,,0
908-DN,908-DN,everyday,Thingankyun,Taungoo to Thingankyun,0,,,0
913-UP,913-UP,everyday,Myohaung,MaHuakone to Myohaung,0,,,0
914-DN,914-DN,everyday,MaHuakone,Myohaung to MaHuakone,0,,,0
Ma-41,Ma-41,everyday,Mattayar,Mandalay to Mattayar,0,,,0
Ma-42,Ma-42,everyday,Thayezay,Mattayar to Thayezay,0,,,0
Ma-43,Ma-43,everyday,Mattayar,Thayezay to Mattayar,0,,,0
Ma-44,Ma-44,everyday,Thayezay,Mattayar to Thayezay,0,,,0
Ma-45,Ma-45,everyday,Mattayar,Thayezay to Mattayar,0,,,0
Ma-46,Ma-46,everyday,Mandalay,Mattayar to Mandalay,0,,,0
